metric,varying_factor,fixed_level,levels,case_ids,values,relative_to_first_level_percent,monotonic_classification,ascending_value_order_case_ids
branch1_rope_tension_abs_peak_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[850843.6193404743, 850853.3962598142, 850869.3485040995]","[0.0, 0.0011490853451399704, 0.0030239591671641576]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
branch1_rope_tension_abs_peak_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[850884.0328180266, 850845.5854806274, 850882.8949730741]","[0.0, -0.0045185167327566195, -0.00013372503286416583]",nonmonotonic,"[""RAC"", ""S_L45_M325"", ""S_L35_M325""]"
branch1_rope_tension_abs_peak_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[850861.9531063214, 850828.4807969816, 850861.8676228239]","[0.0, -0.003933929495565178, -1.0046694080309969e-05]",nonmonotonic,"[""S_L40_M450"", ""S_L45_M450"", ""S_L35_M450""]"
branch2_rope_tension_p95_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[808756.7613760771, 780814.7380123202, 747894.7032398043]","[0.0, -3.45493536477077, -7.525384768680973]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
branch2_rope_tension_p95_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[797948.1617112212, 760518.5399030717, 728878.6649655964]","[0.0, -4.690733509289711, -8.655887695449216]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
branch2_rope_tension_p95_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[797303.9675034327, 740311.4997688024, 712333.46556343]","[0.0, -7.148148016005558, -10.657228033878665]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
branch2_rope_tension_p95_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[808756.7613760771, 797948.1617112212, 797303.9675034327]","[0.0, -1.3364462816317397, -1.4160986862301859]",nonincreasing,"[""S_L45_M200"", ""S_L40_M200"", ""S_L35_M200""]"
branch2_rope_tension_p95_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[780814.7380123202, 760518.5399030717, 740311.4997688024]","[0.0, -2.599361554178078, -5.187304525862924]",nonincreasing,"[""S_L45_M325"", ""RAC"", ""S_L35_M325""]"
branch2_rope_tension_p95_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[747894.7032398043, 728878.6649655964, 712333.46556343]","[0.0, -2.542609031970984, -4.754845504631411]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
branch2_rope_tension_abs_peak_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[855049.6374431604, 854925.7283693041, 825827.892649279]","[0.0, -0.014491448031816383, -3.41754952160002]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
branch2_rope_tension_abs_peak_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[854970.1419406413, 855135.6076777729, 800708.8429937712]","[0.0, 0.019353393646702174, -6.346572387160321]",nonmonotonic,"[""S_L40_M450"", ""S_L40_M200"", ""RAC""]"
branch2_rope_tension_abs_peak_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[855007.1353298784, 815395.6591940438, 768159.749606905]","[0.0, -4.632882522150146, -10.15750420485859]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
branch2_rope_tension_abs_peak_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[855049.6374431604, 854970.1419406413, 855007.1353298784]","[0.0, -0.009297179840551248, -0.004970718823889023]",nonmonotonic,"[""S_L40_M200"", ""S_L45_M200"", ""S_L35_M200""]"
branch2_rope_tension_abs_peak_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[854925.7283693041, 855135.6076777729, 815395.6591940438]","[0.0, 0.024549420084608402, -4.623801561178934]",nonmonotonic,"[""S_L45_M325"", ""S_L35_M325"", ""RAC""]"
branch2_rope_tension_abs_peak_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[825827.892649279, 800708.8429937712, 768159.749606905]","[0.0, -3.0416809457628236, -6.983070389808817]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
soil_x_displacement_rms_m,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[0.15692152688583538, 0.09606269037189544, 0.07062278320110303]","[0.0, -38.78297498227658, -54.994840668047416]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
