case_group,case_id,metric,value,RAC_value,change_percent,percent_unavailable_reason
load_decomposition,RA,roll_phi_rms_deg,0.1641241590157702,0.1607811867737967,2.0792060993284798,
load_decomposition,RA,roll_phi_abs_peak_deg,0.6257857412423998,0.629523989060107,-0.5938213448050546,
load_decomposition,RA,roll_p_rms_deg_s,0.1262676798898287,0.12070771044567308,4.606142742354477,
load_decomposition,RA,roll_p_abs_peak_deg_s,0.7880538983526538,0.8024914273104661,-1.7990882477336039,
load_decomposition,RA,buffer_relative_pitch_rms_rad,0.022747616931842775,0.02274643210347487,0.00520885368972809,
load_decomposition,RA,buffer_relative_pitch_abs_peak_rad,0.044937232649316275,0.04491263224289723,0.05477391368646477,
load_decomposition,RA,branch1_stroke_utilization_p95,0.9124458823474435,0.9105575581547505,0.20738109038595248,
load_decomposition,RA,branch1_stroke_utilization_abs_peak,0.9911044958207729,0.9905607470215019,0.05489302911567828,
load_decomposition,RA,branch2_stroke_utilization_p95,0.9311522086348903,0.9293332287855461,0.19572956104466957,
load_decomposition,RA,branch2_stroke_utilization_abs_peak,0.999862366418391,0.9997618944194286,0.010049592760353524,
load_decomposition,RA,branch1_pressure_min_Pa,11181197.847703611,11182317.957048526,-0.010016790340043224,
load_decomposition,RA,branch1_pressure_max_Pa,17018289.238325,17019695.346408445,-0.008261652484527584,
load_decomposition,RA,branch2_pressure_min_Pa,11004371.878606264,11003680.62669265,0.006282006331007776,
load_decomposition,RA,branch2_pressure_max_Pa,16863083.859805644,16860789.799664993,0.013605887790003171,
load_decomposition,RA,branch1_rope_tension_p95_N,836580.5321766956,836348.3638455358,0.027759763896990145,
load_decomposition,RA,branch1_rope_tension_abs_peak_N,850775.2915751693,850845.5854806274,-0.008261652485198716,
load_decomposition,RA,branch2_rope_tension_p95_N,760443.6643403799,760518.5399030717,-0.009845330358596012,
load_decomposition,RA,branch2_rope_tension_abs_peak_N,855251.9564690071,855135.6076777729,0.013605887790142998,
load_decomposition,RA,soil_x_displacement_rms_m,0.08634550892115196,0.08640864499491943,-0.07306684854412641,
load_decomposition,RA,soil_x_displacement_abs_peak_m,0.2375783579988665,0.23833334670911777,-0.31677846204740745,
load_decomposition,RA,soil_rotation_rms_rad,0.02376891628143939,0.023794465471623706,-0.10737450780218126,
load_decomposition,RA,soil_rotation_abs_peak_rad,0.07005298168019058,0.070062974700602,-0.014262911978989412,
load_decomposition,RA,soil_force_x_total_rms_N,3212132.1572479685,3211366.7482100907,0.023834370157330025,
load_decomposition,RA,soil_force_x_total_abs_peak_N,12828129.523571238,12607581.521226423,1.7493283860468816,
load_decomposition,RA,soil_moment_total_rms_Nm,8442811.947621308,8440718.929406008,0.024796681808806606,
load_decomposition,RA,soil_moment_total_abs_peak_Nm,33860848.974333376,33179091.205775462,2.0547813209520354,
load_decomposition,RA,support_runtime_delta_x_force_rms_N,477281.84425613296,478427.42463583016,-0.23944705522874177,
load_decomposition,RA,support_runtime_delta_x_force_abs_peak_N,1709299.5583253433,1711493.652641907,-0.1281976309510082,
load_decomposition,RA,support_runtime_delta_pitch_moment_rms_Nm,281902556.51537764,282017297.5973248,-0.040685831303503804,
load_decomposition,RA,support_runtime_delta_pitch_moment_abs_peak_Nm,943323484.66162,944032503.2381368,-0.07510531407390472,
load_decomposition,RA,branch1_proxy_endstop_reaction_p95_N,581223.0070592395,575878.0243323357,0.928144937133303,
load_decomposition,RA,branch1_proxy_endstop_reaction_abs_peak_N,1017611.3751483981,881833.9660598005,15.397162540163492,
load_decomposition,RA,branch2_proxy_endstop_reaction_p95_N,935790.322000325,930299.9482425514,0.59017242429665,
load_decomposition,RA,branch2_proxy_endstop_reaction_abs_peak_N,999002.7056897056,999002.7056897056,0.0,
load_decomposition,RC,soil_energy_total_J,3103.1525321464364,9754911.229495715,-99.96818881833835,
load_decomposition,RC,soil_energy_source_interval_contribution_J,3103.1525321464364,7857376.310705911,-99.9605065048505,
load_decomposition,RC,soil_energy_proxy_interval_contribution_J,0.0,810745.807542214,-100.0,
load_decomposition,RC,soil_energy_transition_interval_contribution_J,0.0,1086789.111247614,-100.0,
load_decomposition,RC,source_frame_fraction,1.0,0.9715047492084653,2.9331046312178337,
